timestamp,seed,method,pruning_rate,acc_pruned,acc_kd,acc_retention_pct,params_M,params_reduction_pct,flops_M,flops_reduction_pct,filters
2026-06-18T07:26:37.370863,42,dsfp,50,10.0,85.89,168.81,14.9909,0.0,629.14,0.0,2064
2026-06-18T07:36:36.894283,42,dsfp,60,10.0,84.23,165.55,14.9909,0.0,629.14,0.0,1642
2026-06-18T07:47:09.511445,42,dsfp,70,10.0,82.61,162.36,14.9909,0.0,629.14,0.0,1273
2026-06-18T08:05:48.173875,123,dsfp,50,10.0,85.69,165.68,14.9909,0.0,629.14,0.0,2126
2026-06-18T08:16:50.893618,123,dsfp,60,10.0,84.46,163.3,14.9909,0.0,629.14,0.0,1744
2026-06-18T08:27:59.386202,123,dsfp,70,10.0,83.27,161.0,14.9909,0.0,629.14,0.0,1353
2026-06-18T08:46:33.474797,2026,dsfp,50,10.0,86.09,165.08,14.9909,0.0,629.14,0.0,2108
2026-06-18T08:57:36.761905,2026,dsfp,60,10.0,84.74,162.49,14.9909,0.0,629.14,0.0,1718
2026-06-18T09:08:43.231941,2026,dsfp,70,10.0,82.37,157.95,14.9909,0.0,629.14,0.0,1261
